Role in Cosmetics Industry,Cosmetic Brand Used Most Frequently,Years Using Brand,Learned About Brand,Marketing Channels Followed,Personal Use at Home,Most Familiar Product Line,Potential Causes to Stop Using Brand,Issues Encountered,Loyalty,Use Online Store,Average Quarterly Spend
Individual consumer,Brand A,10,School/college,"Instagram, Through colleagues/bosses, Visiting the website, Phone calls to the sales manager, Instagram, Phone calls to the sales manager, Linkedin, Phone calls to the sales manager, I do not follow any",Yes,Product Line 1,"New product lines lacking a unique sales proposition, Lack of educational seminars supporting new products, Slow or poor product delivery, Moving to another country where the brand is unknown, Lack of educational seminars supporting new products, Reduced support from sales manager",1,8,Yes,270
Individual consumer,Brand A,6,Via an internet advertisement,"Linkedin, Email, TikTok, Phone calls to the sales manager, Email, Visiting the website",No,Product Line 1,"Lack of educational seminars supporting new products, Moving to another country where the brand is unknown, Brand not recognized or preferred by clients, Lack of educational seminars supporting new products, Brand not recognized or preferred by clients, Lack of educational seminars supporting new products, Lack of educational seminars supporting new products",4,7,Yes,324
Beauty studio manager/administrator,Brand A,12,School/college,"Email, Visiting the website, Email, Visits to a physical store, I do not follow any, Instagram",Yes,Product Line 2,"New product lines lacking a unique sales proposition, Brand not recognized or preferred by clients, Slow or poor product delivery, Product-based procedures becoming less profitable, Products becoming widely available in shops, Product-based procedures becoming less profitable",3,8,Yes,335
Beauty studio manager/administrator,Brand E,12,From clients,"Linkedin, Visiting the website, Instagram, Visiting the website, Visiting the website, Email",Yes,Product Line 2,Moving to another country where the brand is unknown,2,8,Yes,268
Cosmetology specialist,Brand A,20,At your workplace,"Visiting the website, Through colleagues/bosses, Linkedin, Through colleagues/bosses, Linkedin, Visiting the website, Through colleagues/bosses",No,Product Line 3,"Receiving spoiled or damaged products, Lack of educational seminars supporting new products, Reduced support from sales manager, Receiving spoiled or damaged products, New product lines lacking a unique sales proposition, Lack of educational seminars supporting new products, New product lines lacking a unique sales proposition, Lack of educational seminars supporting new products, Product-based procedures becoming less profitable",4,7,Yes,273
Beauty studio manager/administrator,Brand C,5,Shelf or poster ad at the shop,"Visiting the website, Visiting the website, Through colleagues/bosses, Phone calls to the sales manager",Yes,Product Line 5,"Receiving spoiled or damaged products, Moving to another country where the brand is unknown, Absence of new product lines, New product lines lacking a unique sales proposition, Brand not recognized or preferred by clients",4,7,Yes,554
Individual consumer,Brand E,2,"Other, please specify","Visiting the website, Visiting the website, Phone calls to the sales manager, Linkedin, Through colleagues/bosses, Visiting the website",Yes,Product Line 1,"Brand not recognized or preferred by clients, Slow or poor product delivery, Product-based procedures becoming less profitable, Dissatisfaction with products among clients, Moving to another country where the brand is unknown",3,5,Yes,134
Massage professional,Brand A,9,At your workplace,"Phone calls to the sales manager, Through colleagues/bosses, Through colleagues/bosses, TikTok, Email, Visiting the website, Visiting the website, Linkedin, TikTok",Yes,Product Line 5,"Absence of new product lines, Lack of educational seminars supporting new products, Products becoming widely available in shops, Moving to another country where the brand is unknown, Receiving spoiled or damaged products, Reduced support from sales manager, Lack of educational seminars supporting new products, Slow or poor product delivery",2,5,Yes,171
Individual consumer,Brand A,0,Shelf or poster ad at the shop,"Visiting the website, Visiting the website, I do not follow any",Yes,Product Line 5,"Dissatisfaction with products among clients, Receiving spoiled or damaged products, Lack of educational seminars supporting new products, Dissatisfaction with products among clients, Lack of educational seminars supporting new products, Moving to another country where the brand is unknown, Lack of educational seminars supporting new products",0,7,No,530
Cosmetology specialist,Brand D,0,Through an email newsletter,Visiting the website,Yes,Product Line 5,"Lack of educational seminars supporting new products, Dissatisfaction with products among clients, Lack of educational seminars supporting new products, Receiving spoiled or damaged products, Products becoming widely available in shops, Receiving spoiled or damaged products, Receiving spoiled or damaged products, Reduced support from sales manager, Dissatisfaction with products among clients",3,8,Yes,236
